Lewis,25327,Laura,35993
Charlie,25176,Charlotte,35753
Glenn,25156,Ida,35619
Calvin,24783,Elaine,34908
Martin,24243,Anne,34512
Milton,24197,Marilyn,34203
Lee,23556,Kathryn,33791
Jesse,23170,Maxine,33743
Dale,22750,Kathleen,33598
Cecil,22528,Viola,33251
Bill,22291,Pearl,32774
Harvey,21786,Vera,32542
Roger,21755,Bessie,32160
Victor,21498,Myrtle,30567
Benjamin,21029,Alma,30436
Wallace,20915,Beverly,30205
Ronald,20898,Violet,30022
Sam,20843,Nellie,29689
Allen,20091,Ella,29519
Arnold,19531,Lillie,29382
Willard,18442,Jessie,29289
Gilbert,18233,Jeanne,29119
Edgar,18037,Eileen,28588
Oscar,17740,Ellen,28392
Gene,17579,Lucy,27434
Jerry,17450,Minnie,26906
Douglas,17302,Sylvia,26842
Johnnie,17294,Donna,26160
Claude,16999,Leona,26031
Don,16941,Rosemary,25967
Eddie,16924,Stella,25901
Roland,16879,Mattie,25522
Everett,16473,Margie,25496
Maurice,16160,Genevieve,24780
Curtis,16137,Mabel,24522
Marion,16035,Janet,23975
Virgil,15993,Geneva,23273
Wilbur,15713,Georgia,23229
Manuel,15665,Bonnie,23172
Stephen,15559,Carol,22980
Jerome,15453,Velma,22875
Homer,15145,Lena,22844
Leslie,15065,Carolyn,22775
Glen,14967,Mae,22758
Jessie,14796,Jennie,22591
Hubert,14696,Maria,22588
Jose,14448,Christine,22335
Jimmie,14358,Arlene,21960
Sidney,14201,Peggy,21872
Morris,14141,Marguerite,21785
Hugh,14107,Opal,21542
Max,14081,Sara,21100
Bobby,13879,Loretta,21070
Bob,13691,Harriet,20872
Nicholas,13610,Rosa,20793
Luther,13197,Muriel,20481
Bruce,13180,Eunice,20172
Junior,12926,Jeanette,19783
Wesley,12861,Blanche,19619
Rudolph,12561,Carrie,19126
Alexander,12540,Emily,18754
Franklin,12509,Beulah,18627
Tom,11924,Billie,18471
Irving,11898,Dora,18334
Horace,11776,Roberta,18220
Willis,11704,Hilda,18191
Patrick,11462,Naomi,18184
Steve,11354,Anita,18054
Johnny,11343,Jacqueline,17882
Dean,11157,Alberta,17862
Julius,10982,Inez,17597
Keith,10915,Delores,16462
Oliver,10899,Fannie,16456
Earnest,10869,Hattie,16369
Ben,10609,Lula,16316
Jim,10565,Verna,16264
Tony,10399,Cora,16160
Edmund,10206,Constance,15570
Lyle,10163,Madeline,15558
Guy,9872,Miriam,15505
Salvatore,9852,Ada,15134
Orville,9722,Claire,14994
Delbert,9677,Mamie,14808
Billie,9548,Lola,14654
Phillip,9525,Rosie,14290
Clayton,9414,Erma,14260
Otis,9352,Rachel,14200
Archie,9293,Mable,14010
Alex,9182,Flora,13962
Angelo,9130,Daisy,13659
Mike,9076,Sally,13474
Jacob,9046,Marcella,13397
Clifton,8733,Bette,13273
Bennie,8596,Olga,12788
Matthew,8567,Caroline,12694
Duane,8565,Laverne,12642
Clinton,8443,Sophie,12552
Dennis,8146,Nora,12300
Wilbert,8114,Rebecca,12283
Dan,8099,Estelle,12280
Jay,8054,Irma,12238
Marshall,8039,Susie,12179
Leland,8023,Eula,12160
Merle,7970,Winifred,12083
Ira,7911,Eloise,11923
Nathaniel,7795,Janice,11810
Ivan,7627,Maggie,11696
Ervin,7594,Antoinette,11578
Jimmy,7332,Nina,11329
Irvin,7246,Rosalie,11297
Alton,7243,Imogene,11296
Lowell,7237,Lorene,11243
Dewey,7224,Olive,10889
Larry,7219,Sadie,10846
Emil,7170,Regina,10676
Antonio,7141,Victoria,10547
Wilfred,7134,Henrietta,10453
Elbert,7076,Della,10366
Juan,7044,Bettie,10335
Alan,7013,Lila,10304
Allan,6989,Fern,10254
Lonnie,6979,Faye,10233
Nelson,6927,Johnnie,10065
Forrest,6910,Jeannette,9992
