Name,Number,Name,Number
Wilson,6835,Nora,11063
Emil,6701,Miriam,11048
Guy,6624,Erma,10953
Bill,6599,Dolores,10781
Jerry,6486,Victoria,10766
Matthew,6228,Wanda,10735
Patrick,6121,Janet,10713
Ira,6115,Lottie,10650
Clifton,6104,Caroline,10591
Angelo,6047,Rachel,10482
Abraham,6040,Irma,10461
Salvatore,5977,Henrietta,10400
Jose,5899,Roberta,10370
Jim,5764,Winifred,10255
Jimmie,5734,Eula,9852
Calvin,5713,Patricia,9707
Don,5683,Rosie,9565
Lyle,5657,Anita,9555
Bennie,5647,Rebecca,9474
Clayton,5641,Della,9450
Marshall,5585,Nettie,9332
Bruce,5577,Sally,9301
Otto,5552,Fern,9250
Sylvester,5420,Lydia,9025
Clinton,5302,Adeline,8985
Ronald,5302,Carolyn,8940
Wilbert,5275,Amelia,8832
Irvin,5259,Nina,8680
Delbert,5257,Jeanne,8647
Phillip,5135,Elaine,8576
Ervin,5011,Goldie,8563
Elbert,4990,Katie,8419
Wilfred,4976,Bonnie,8335
Isaac,4952,Antoinette,8217
Ivan,4932,May,8096
Felix,4928,Marcella,8080
Rufus,4901,Lorene,8034
August,4869,Essie,7999
Forrest,4860,Arlene,7781
Nathaniel,4795,Ollie,7759
Dan,4737,Dorothea,7750
Nelson,4731,Jeannette,7719
Karl,4694,Veronica,7693
Nick,4683,Effie,7683
Julian,4650,Isabel,7668
Merle,4645,Freda,7453
Aaron,4570,Regina,7389
Lonnie,4536,Sallie,7378
Adolph,4523,Cleo,7369
Adam,4480,Ora,7259
Jay,4455,Isabelle,7255
Ellis,4433,Rosemary,7079
Alton,4417,Addie,7077
Leland,4381,Eloise,7071
Pete,4352,Joan,7023
Bert,4327,Lela,7007
