Name,Number,Name,Number
Bradley,29489,Charlotte,36999
Clarence,29478,Eileen,36561
Don,29457,Lois,36200
Theodore,29042,Colleen,35911
Jon,28939,Stephanie,35556
Rickey,27949,Annette,35343
Joel,27858,Glenda,35225
Jesse,26647,Yvonne,35040
Jim,26214,Dianne,34487
Edwin,26202,Tina,33990
Dan,26017,Beth,33984
Chris,25896,Lorraine,33586
Bernard,25882,Constance,33526
Jonathan,25803,Renee,32948
Gordon,25729,Charlene,32718
Glen,25392,Joann,32668
Jeff,24927,Julia,32451
Warren,24600,Gwendolyn,31942
Leroy,24583,Norma,30800
Herbert,24291,Regina,30794
Duane,24137,Amy,30582
Bill,23878,Loretta,30390
Benjamin,23832,Sheryl,30382
Tom,23754,Carla,29430
Alvin,23084,Andrea,29373
Nicholas,22612,Tammy,29177
Tim,22223,Irene,26971
Mitchell,21960,Jan,26164
Marc,21938,Louise,25850
Leslie,21381,Juanita,25651
Leon,21345,Marlene,25249
Kim,21205,Penny,25125
Dwight,20846,Rosemary,25014
Bryan,20628,Becky,24837
Lloyd,20620,Kay,24644
Vernon,20134,Joy,24516
Gene,19691,Geraldine,24223
Reginald,19337,Jeanette,23984
Lonnie,19197,Gayle,23730
Guy,19149,Annie,23677
Gilbert,18849,Vivian,23552
Garry,18786,Claudia,23147
Juan,18770,Lynda,22689
Karl,18729,Melissa,22292
Kent,18689,Audrey,22221
Kurt,18639,Lynne,22194
Todd,18567,Patsy,21733
Jackie,18441,Melinda,21508
Greg,18241,Vicky,21332
Lewis,18132,Toni,21306
Wesley,18074,June,21102
Clyde,17905,Belinda,20940
Floyd,17855,Marjorie,20939
Neil,17715,Arlene,20654
Allan,17690,Patti,20602
Donnie,17163,Ruby,20550
Perry,17079,Sara,20490
Franklin,17010,Yolanda,19945
Lester,16565,Rosa,19877
Brad,16475,Melanie,19850
Manuel,16371,Christina,19843
Kirk,16219,Delores,19362
Carlos,15820,Jackie,19303
Leo,15529,Vanessa,19167
Jimmie,15528,Carmen,18951
Randolph,15496,Monica,18717
Charlie,15282,Janis,18673
Robin,15222,Holly,18635
Dana,15155,Marianne,18477
Darryl,15088,Dolores,18307
Dave,14848,Shelley,18225
Ted,14717,Veronica,17620
Milton,14578,Mildred,17573
Daryl,14503,Eva,17109
Kerry,14413,Dana,17104
Freddie,14404,Rachel,16775
Brent,14331,Shelia,16753
Harvey,14251,Roxanne,16607
Gerard,14217,Carole,16533
Stuart,14073,Lillian,16509
Johnnie,14044,Josephine,16408
Herman,13832,Carrie,16180
Lynn,13769,Patty,16108
Rex,13497,Sherri,16103
Arnold,13193,Doreen,16086
Kelly,13128,Grace,15925
