Name,Number,Name,Number
Ernest,26891,Rita,32874
Dwayne,26787,Gail,32869
Aaron,26082,Heather,32705
Brett,25841,Deanna,32268
Rick,25732,Holly,32144
Benjamin,25624,Rose,31857
Bill,25144,Vickie,31762
Reginald,24923,Carrie,31171
Duane,23762,Veronica,30033
Juan,23457,Yvonne,29959
Fred,23194,Becky,29599
Melvin,23086,Helen,29095
Adam,22943,Sylvia,28612
Norman,22749,Yolanda,28443
Dan,22714,April,28303
Mitchell,22679,Terry,27633
Harry,22667,Elaine,27463
Jesse,22614,Sheri,27328
Carlos,22393,Marilyn,26999
Nicholas,22379,Alice,26955
Jerome,22295,Jodi,26875
Kirk,22217,Rachel,26797
Ray,22189,Sheryl,26059
Don,22124,Jackie,25894
Calvin,21892,Jamie,25699
Glen,21880,Phyllis,25697
Brad,21359,Frances,24997
Theodore,21294,Crystal,24973
Derrick,21195,Joann,24875
Karl,21184,Eileen,24869
Edwin,20637,Shelley,24856
Earl,20371,Toni,24839
Lance,20042,Charlene,24622
Francis,19337,Kristin,24353
Clifford,19263,Sally,24347
Kent,19257,Charlotte,24237
Derek,19026,Kristine,24124
Wesley,18807,Jeanne,23545
Alfred,18651,Sara,23044
Antonio,18600,Tanya,23027
Warren,18561,Belinda,22946
Andre,18117,Carmen,22879
Clarence,17504,Sandy,22711
Bernard,17474,Evelyn,22581
Kyle,16587,Alicia,22422
Tyrone,16425,Sonya,22291
Manuel,16041,Lorraine,22249
Luis,15913,Jeanette,22088
Chad,15909,Yvette,22088
Gordon,15832,Loretta,22069
Dave,15772,Joy,21757
Nathan,15534,Sue,21604
Guy,15360,Norma,21513
Kerry,15286,Roberta,21099
Daryl,15265,Vanessa,20984
Leroy,15218,Shari,20518
Lonnie,15122,Jo,20196
Perry,15120,Natalie,19566
Erik,14772,Tammie,19345
Maurice,14644,Traci,18704
Marcus,14552,Gwendolyn,18637
Alvin,14505,Nicole,18568
Gilbert,14425,Felicia,18552
Vernon,14408,Melody,18471
Alexander,14187,Tami,18445
Stuart,13964,Shelia,18443
Rickey,13942,Marcia,18423
Shane,13933,Doris,18191
Franklin,13887,Kristen,18041
Leon,13822,Audrey,17868
Gregg,13790,Karla,17717
Bob,13787,Jody,17670
Darin,13743,Glenda,17589
Leslie,13723,Patty,17520
Herbert,13700,Amanda,17175
Gene,13697,Pam,17109
